Device-A, Port-1, no shutdown
Device-C, Port-7, ip address IP-Address-37
Device-C, Port-7, ip address IP-Address-38
Device-C, Port-7, ip address IP-Address-39
Device-C, Port-7, ip address IP-Address-40
Device-C, Port-7, ip address IP-Address-41
Device-C, Port-7, ip address IP-Address-42
Device-C, Port-7, ip address IP-Address-43
Device-C, Port-7, ip address IP-Address-44
Device-C, Port-7, ip address IP-Address-45
Device-C, Port-7, ip address IP-Address-46
Device-C, Port-7, ip address IP-Address-47
Device-C, Port-7, ip address IP-Address-48
Device-C, Port-7, ip address IP-Address-49
Device-C, Port-7, ip address IP-Address-50
Device-C, Port-7, ip address IP-Address-51
Device-C, Port-7, ip address IP-Address-52
Device-C, Port-7, ip address IP-Address-53
Device-C, Port-7, ip address IP-Address-54
Device-C, Port-7, ip address IP-Address-55
Device-C, Port-7, ip address IP-Address-56
Device-C, Port-7, ip address IP-Address-57
Device-C, Port-7, ip address IP-Address-58
Device-C, Port-7, ip address IP-Address-59
Device-C, Port-7, ip address IP-Address-60
Device-C, Port-7, ip address IP-Address-61
Device-C, Port-7, ip address IP-Address-62
Device-C, Port-7, ip address IP-Address-63
Device-C, Port-7, shutdown
Device-C, Port-7, no ip address
Device-C, Port-8, no shutdown
Device-C, Port-8, ip address IP-Address-1
Device-C, Port-8, ip address IP-Address-2
Device-C, Port-8, ip address IP-Address-3
Device-C, Port-8, ip address IP-Address-4
Device-C, Port-8, ip address IP-Address-5
Device-C, Port-8, ip address IP-Address-6
Device-C, Port-8, ip address IP-Address-7
Device-C, Port-8, ip address IP-Address-8
Device-C, Port-8, ip address IP-Address-9
Device-C, Port-8, ip address IP-Address-10
Device-C, Port-8, ip address IP-Address-11
Device-C, Port-8, ip address IP-Address-12
Device-C, Port-8, ip address IP-Address-13
Device-C, Port-8, ip address IP-Address-14
Device-C, Port-8, ip address IP-Address-15
Device-C, Port-8, ip address IP-Address-16
Device-C, Port-8, ip address IP-Address-17
Device-C, Port-8, ip address IP-Address-18
Device-C, Port-8, ip address IP-Address-19
Device-C, Port-8, ip address IP-Address-20
Device-C, Port-8, ip address IP-Address-21
Device-C, Port-8, ip address IP-Address-22
Device-C, Port-8, ip address IP-Address-23
Device-C, Port-8, ip address IP-Address-24
Device-C, Port-8, ip address IP-Address-25
Device-C, Port-8, ip address IP-Address-26
Device-C, Port-8, ip address IP-Address-27
Device-C, Port-8, ip address IP-Address-28
Device-C, Port-8, ip address IP-Address-29
Device-C, Port-8, ip address IP-Address-30
Device-C, Port-8, ip address IP-Address-31
Device-C, Port-8, ip address IP-Address-32
Device-C, Port-8, ip address IP-Address-33
Device-C, Port-8, ip address IP-Address-34
Device-C, Port-8, ip address IP-Address-35
Device-C, Port-8, ip address IP-Address-36
Device-C, Port-8, ip address IP-Address-37
Device-C, Port-8, ip address IP-Address-38
Device-C, Port-8, ip address IP-Address-39
Device-C, Port-8, ip address IP-Address-40
Device-C, Port-8, ip address IP-Address-41
Device-C, Port-8, ip address IP-Address-42
Device-C, Port-8, ip address IP-Address-43
Device-C, Port-8, ip address IP-Address-44
Device-C, Port-8, ip address IP-Address-45
Device-C, Port-8, ip address IP-Address-46
Device-C, Port-8, ip address IP-Address-47
Device-C, Port-8, ip address IP-Address-48
Device-C, Port-8, ip address IP-Address-49
Device-C, Port-8, ip address IP-Address-50
Device-C, Port-8, ip address IP-Address-51
Device-C, Port-8, ip address IP-Address-52
Device-C, Port-8, ip address IP-Address-53
Device-C, Port-8, ip address IP-Address-54
Device-C, Port-8, ip address IP-Address-55
Device-C, Port-8, ip address IP-Address-56
Device-C, Port-8, ip address IP-Address-57
Device-C, Port-8, ip address IP-Address-58
Device-C, Port-8, ip address IP-Address-59
Device-C, Port-8, ip address IP-Address-60
Device-C, Port-8, ip address IP-Address-61
Device-C, Port-8, ip address IP-Address-62
Device-C, Port-8, ip address IP-Address-63
Device-C, Port-8, shutdown
Device-C, Port-8, no ip address
Device-C, Port-9, no shutdown
Device-C, Port-9, ip address IP-Address-1
Device-C, Port-9, ip address IP-Address-2
Device-C, Port-9, ip address IP-Address-3
Device-C, Port-9, ip address IP-Address-4
Device-C, Port-9, ip address IP-Address-5
Device-C, Port-9, ip address IP-Address-6
Device-C, Port-9, ip address IP-Address-7
Device-C, Port-9, ip address IP-Address-8
Device-C, Port-9, ip address IP-Address-9
Device-C, Port-9, ip address IP-Address-10
Device-C, Port-9, ip address IP-Address-11
Device-C, Port-9, ip address IP-Address-12
Device-C, Port-9, ip address IP-Address-13
Device-C, Port-9, ip address IP-Address-14
Device-C, Port-9, ip address IP-Address-15
Device-C, Port-9, ip address IP-Address-16
Device-C, Port-9, ip address IP-Address-17
Device-C, Port-9, ip address IP-Address-18
Device-C, Port-9, ip address IP-Address-19
Device-C, Port-9, ip address IP-Address-20
Device-C, Port-9, ip address IP-Address-21
Device-C, Port-9, ip address IP-Address-22
Device-C, Port-9, ip address IP-Address-23
Device-C, Port-9, ip address IP-Address-24
Device-C, Port-9, ip address IP-Address-25
Device-C, Port-9, ip address IP-Address-26
Device-C, Port-9, ip address IP-Address-27
Device-C, Port-9, ip address IP-Address-28
Device-C, Port-9, ip address IP-Address-29
Device-C, Port-9, ip address IP-Address-30
Device-C, Port-9, ip address IP-Address-31
Device-C, Port-9, ip address IP-Address-32
Device-C, Port-9, ip address IP-Address-33
Device-C, Port-9, ip address IP-Address-34
Device-C, Port-9, ip address IP-Address-35
Device-C, Port-9, ip address IP-Address-36
Device-C, Port-9, ip address IP-Address-37
Device-C, Port-9, ip address IP-Address-38
Device-C, Port-9, ip address IP-Address-39
Device-C, Port-9, ip address IP-Address-40
Device-C, Port-9, ip address IP-Address-41
Device-C, Port-9, ip address IP-Address-42
Device-C, Port-9, ip address IP-Address-43
Device-C, Port-9, ip address IP-Address-44
Device-C, Port-9, ip address IP-Address-45
Device-C, Port-9, ip address IP-Address-46
Device-C, Port-9, ip address IP-Address-47
Device-C, Port-9, ip address IP-Address-48
Device-C, Port-9, ip address IP-Address-49
Device-C, Port-9, ip address IP-Address-50
Device-C, Port-9, ip address IP-Address-51
Device-C, Port-9, ip address IP-Address-52
Device-C, Port-9, ip address IP-Address-53
Device-C, Port-9, ip address IP-Address-54
Device-C, Port-9, ip address IP-Address-55
Device-C, Port-9, ip address IP-Address-56
Device-C, Port-9, ip address IP-Address-57
Device-C, Port-9, ip address IP-Address-58
Device-C, Port-9, ip address IP-Address-59
Device-C, Port-9, ip address IP-Address-60
Device-C, Port-9, ip address IP-Address-61
Device-C, Port-9, ip address IP-Address-62
Device-C, Port-9, ip address IP-Address-63
Device-C, Port-9, shutdown
Device-C, Port-9, no ip address
Device-D, Port-1, no shutdown
Device-D, Port-1, ip address IP-Address-1
Device-D, Port-1, ip address IP-Address-2
Device-D, Port-1, ip address IP-Address-3
Device-D, Port-1, ip address IP-Address-4
Device-D, Port-1, ip address IP-Address-5
Device-D, Port-1, ip address IP-Address-6
Device-D, Port-1, ip address IP-Address-7
Device-D, Port-1, ip address IP-Address-8
Device-D, Port-1, ip address IP-Address-9
Device-D, Port-1, ip address IP-Address-10
Device-D, Port-1, ip address IP-Address-11
Device-D, Port-1, ip address IP-Address-12
Device-D, Port-1, ip address IP-Address-13
Device-D, Port-1, ip address IP-Address-14
Device-D, Port-1, ip address IP-Address-15
Device-D, Port-1, ip address IP-Address-16
Device-D, Port-1, ip address IP-Address-17
Device-D, Port-1, ip address IP-Address-18
Device-D, Port-1, ip address IP-Address-19
Device-D, Port-1, ip address IP-Address-20
Device-D, Port-1, ip address IP-Address-21
Device-D, Port-1, ip address IP-Address-22
Device-D, Port-1, ip address IP-Address-23
Device-D, Port-1, ip address IP-Address-24
Device-D, Port-1, ip address IP-Address-25
Device-D, Port-1, ip address IP-Address-26
Device-D, Port-1, ip address IP-Address-27
Device-D, Port-1, ip address IP-Address-28
Device-D, Port-1, ip address IP-Address-29
Device-D, Port-1, ip address IP-Address-30
Device-D, Port-1, ip address IP-Address-31
Device-D, Port-1, ip address IP-Address-32
Device-D, Port-1, ip address IP-Address-33
Device-D, Port-1, ip address IP-Address-34
Device-D, Port-1, ip address IP-Address-35
Device-D, Port-1, ip address IP-Address-36
Device-D, Port-1, ip address IP-Address-37
Device-D, Port-1, ip address IP-Address-38
Device-D, Port-1, ip address IP-Address-39
Device-D, Port-1, ip address IP-Address-40
Device-D, Port-1, ip address IP-Address-41
Device-D, Port-1, ip address IP-Address-42
Device-D, Port-1, ip address IP-Address-43
Device-D, Port-1, ip address IP-Address-44
Device-D, Port-1, ip address IP-Address-45
Device-D, Port-1, ip address IP-Address-46
Device-D, Port-1, ip address IP-Address-47
Device-D, Port-1, ip address IP-Address-48
Device-D, Port-1, ip address IP-Address-49
Device-D, Port-1, ip address IP-Address-50
Device-D, Port-1, ip address IP-Address-51
Device-D, Port-1, ip address IP-Address-52
Device-D, Port-1, ip address IP-Address-53
Device-D, Port-1, ip address IP-Address-54
Device-D, Port-1, ip address IP-Address-55
Device-D, Port-1, ip address IP-Address-56
Device-D, Port-1, ip address IP-Address-57
Device-D, Port-1, ip address IP-Address-58
Device-D, Port-1, ip address IP-Address-59
Device-D, Port-1, ip address IP-Address-60
Device-D, Port-1, ip address IP-Address-61
Device-D, Port-1, ip address IP-Address-62
Device-D, Port-1, ip address IP-Address-63
Device-D, Port-1, shutdown
Device-D, Port-1, no ip address
Device-D, Port-2, no shutdown
Device-D, Port-2, ip address IP-Address-1
Device-D, Port-2, ip address IP-Address-2
Device-D, Port-2, ip address IP-Address-3
Device-D, Port-2, ip address IP-Address-4
Device-D, Port-2, ip address IP-Address-5
Device-D, Port-2, ip address IP-Address-6
Device-D, Port-2, ip address IP-Address-7
Device-D, Port-2, ip address IP-Address-8
Device-D, Port-2, ip address IP-Address-9
Device-D, Port-2, ip address IP-Address-10
Device-D, Port-2, ip address IP-Address-11
Device-D, Port-2, ip address IP-Address-12
Device-D, Port-2, ip address IP-Address-13
Device-D, Port-2, ip address IP-Address-14
Device-D, Port-2, ip address IP-Address-15
Device-D, Port-2, ip address IP-Address-16
Device-D, Port-2, ip address IP-Address-17
Device-D, Port-2, ip address IP-Address-18
Device-D, Port-2, ip address IP-Address-19
Device-D, Port-2, ip address IP-Address-20
Device-D, Port-2, ip address IP-Address-21
Device-D, Port-2, ip address IP-Address-22
Device-D, Port-2, ip address IP-Address-23
Device-D, Port-2, ip address IP-Address-24
Device-D, Port-2, ip address IP-Address-25
Device-D, Port-2, ip address IP-Address-26
Device-D, Port-2, ip address IP-Address-27
Device-D, Port-2, ip address IP-Address-28
Device-D, Port-2, ip address IP-Address-29
Device-D, Port-2, ip address IP-Address-30
Device-D, Port-2, ip address IP-Address-31
Device-D, Port-2, ip address IP-Address-32
Device-D, Port-2, ip address IP-Address-33
Device-D, Port-2, ip address IP-Address-34
Device-D, Port-2, ip address IP-Address-35
Device-D, Port-2, ip address IP-Address-36
Device-D, Port-2, ip address IP-Address-37
Device-D, Port-2, ip address IP-Address-38
Device-D, Port-2, ip address IP-Address-39
Device-D, Port-2, ip address IP-Address-40
Device-D, Port-2, ip address IP-Address-41
Device-D, Port-2, ip address IP-Address-42
Device-D, Port-2, ip address IP-Address-43
Device-D, Port-2, ip address IP-Address-44
Device-D, Port-2, ip address IP-Address-45
Device-D, Port-2, ip address IP-Address-46
Device-D, Port-2, ip address IP-Address-47
Device-D, Port-2, ip address IP-Address-48
Device-D, Port-2, ip address IP-Address-49
Device-D, Port-2, ip address IP-Address-50
Device-D, Port-2, ip address IP-Address-51
Device-D, Port-2, ip address IP-Address-52
Device-D, Port-2, ip address IP-Address-53
Device-D, Port-2, ip address IP-Address-54
Device-D, Port-2, ip address IP-Address-55
Device-D, Port-2, ip address IP-Address-56
Device-D, Port-2, ip address IP-Address-57
Device-D, Port-2, ip address IP-Address-58
Device-D, Port-2, ip address IP-Address-59
Device-D, Port-2, ip address IP-Address-60
Device-D, Port-2, ip address IP-Address-61
Device-D, Port-2, ip address IP-Address-62
Device-D, Port-2, ip address IP-Address-63
Device-D, Port-2, shutdown
Device-D, Port-2, no ip address
Device-D, Port-3, no shutdown
Device-D, Port-3, ip address IP-Address-1
Device-D, Port-3, ip address IP-Address-2
Device-D, Port-3, ip address IP-Address-3
Device-D, Port-3, ip address IP-Address-4
Device-D, Port-3, ip address IP-Address-5
Device-D, Port-3, ip address IP-Address-6
Device-D, Port-3, ip address IP-Address-7
Device-D, Port-3, ip address IP-Address-8
Device-D, Port-3, ip address IP-Address-9
Device-D, Port-3, ip address IP-Address-10
Device-D, Port-3, ip address IP-Address-11
Device-D, Port-3, ip address IP-Address-12
Device-D, Port-3, ip address IP-Address-13
Device-D, Port-3, ip address IP-Address-14
Device-D, Port-3, ip address IP-Address-15
Device-D, Port-3, ip address IP-Address-16
Device-D, Port-3, ip address IP-Address-17
Device-D, Port-3, ip address IP-Address-18
Device-D, Port-3, ip address IP-Address-19
Device-D, Port-3, ip address IP-Address-20
Device-D, Port-3, ip address IP-Address-21
Device-D, Port-3, ip address IP-Address-22
Device-D, Port-3, ip address IP-Address-23
Device-D, Port-3, ip address IP-Address-24
Device-D, Port-3, ip address IP-Address-25
Device-D, Port-3, ip address IP-Address-26
Device-D, Port-3, ip address IP-Address-27
Device-D, Port-3, ip address IP-Address-28
Device-D, Port-3, ip address IP-Address-29
Device-D, Port-3, ip address IP-Address-30
Device-D, Port-3, ip address IP-Address-31
Device-D, Port-3, ip address IP-Address-32
Device-D, Port-3, ip address IP-Address-33
Device-D, Port-3, ip address IP-Address-34
Device-D, Port-3, ip address IP-Address-35
Device-D, Port-3, ip address IP-Address-36
Device-D, Port-3, ip address IP-Address-37
Device-D, Port-3, ip address IP-Address-38
Device-D, Port-3, ip address IP-Address-39
Device-D, Port-3, ip address IP-Address-40
Device-D, Port-3, ip address IP-Address-41
Device-D, Port-3, ip address IP-Address-42
Device-D, Port-3, ip address IP-Address-43
Device-D, Port-3, ip address IP-Address-44
Device-D, Port-3, ip address IP-Address-45
Device-D, Port-3, ip address IP-Address-46
Device-D, Port-3, ip address IP-Address-47
Device-D, Port-3, ip address IP-Address-48
Device-D, Port-3, ip address IP-Address-49
Device-D, Port-3, ip address IP-Address-50
Device-D, Port-3, ip address IP-Address-51
Device-D, Port-3, ip address IP-Address-52
Device-D, Port-3, ip address IP-Address-53
Device-D, Port-3, ip address IP-Address-54
Device-D, Port-3, ip address IP-Address-55
Device-D, Port-3, ip address IP-Address-56
Device-D, Port-3, ip address IP-Address-57
Device-D, Port-3, ip address IP-Address-58
Device-D, Port-3, ip address IP-Address-59
Device-D, Port-3, ip address IP-Address-60
Device-D, Port-3, ip address IP-Address-61
Device-D, Port-3, ip address IP-Address-62
Device-D, Port-3, ip address IP-Address-63
Device-D, Port-3, shutdown
Device-D, Port-3, no ip address
Device-D, Port-4, no shutdown
Device-D, Port-4, ip address IP-Address-1
Device-D, Port-4, ip address IP-Address-2
Device-D, Port-4, ip address IP-Address-3
Device-D, Port-4, ip address IP-Address-4
Device-D, Port-4, ip address IP-Address-5
Device-D, Port-4, ip address IP-Address-6
Device-D, Port-4, ip address IP-Address-7
Device-D, Port-4, ip address IP-Address-8
Device-D, Port-4, ip address IP-Address-9
Device-D, Port-4, ip address IP-Address-10
Device-D, Port-4, ip address IP-Address-11
Device-D, Port-4, ip address IP-Address-12
Device-D, Port-4, ip address IP-Address-13
Device-D, Port-4, ip address IP-Address-14
Device-D, Port-4, ip address IP-Address-15
Device-D, Port-4, ip address IP-Address-16
Device-D, Port-4, ip address IP-Address-17
Device-D, Port-4, ip address IP-Address-18
Device-D, Port-4, ip address IP-Address-19
Device-D, Port-4, ip address IP-Address-20
Device-D, Port-4, ip address IP-Address-21
Device-D, Port-4, ip address IP-Address-22
Device-D, Port-4, ip address IP-Address-23
Device-D, Port-4, ip address IP-Address-24
Device-D, Port-4, ip address IP-Address-25
Device-D, Port-4, ip address IP-Address-26
Device-D, Port-4, ip address IP-Address-27
Device-D, Port-4, ip address IP-Address-28
Device-D, Port-4, ip address IP-Address-29
Device-D, Port-4, ip address IP-Address-30
Device-D, Port-4, ip address IP-Address-31
Device-D, Port-4, ip address IP-Address-32
Device-D, Port-4, ip address IP-Address-33
Device-D, Port-4, ip address IP-Address-34
Device-D, Port-4, ip address IP-Address-35
Device-D, Port-4, ip address IP-Address-36
Device-D, Port-4, ip address IP-Address-37
Device-D, Port-4, ip address IP-Address-38
Device-D, Port-4, ip address IP-Address-39
Device-D, Port-4, ip address IP-Address-40
Device-D, Port-4, ip address IP-Address-41
Device-D, Port-4, ip address IP-Address-42
Device-D, Port-4, ip address IP-Address-43
Device-D, Port-4, ip address IP-Address-44
Device-D, Port-4, ip address IP-Address-45
Device-D, Port-4, ip address IP-Address-46
Device-D, Port-4, ip address IP-Address-47
Device-D, Port-4, ip address IP-Address-48
Device-D, Port-4, ip address IP-Address-49
Device-D, Port-4, ip address IP-Address-50
Device-D, Port-4, ip address IP-Address-51
Device-D, Port-4, ip address IP-Address-52
Device-D, Port-4, ip address IP-Address-53
Device-D, Port-4, ip address IP-Address-54
Device-D, Port-4, ip address IP-Address-55
Device-D, Port-4, ip address IP-Address-56
Device-D, Port-4, ip address IP-Address-57
Device-D, Port-4, ip address IP-Address-58
Device-D, Port-4, ip address IP-Address-59
Device-D, Port-4, ip address IP-Address-60
Device-D, Port-4, ip address IP-Address-61
Device-D, Port-4, ip address IP-Address-62
Device-D, Port-4, ip address IP-Address-63
Device-D, Port-4, shutdown
Device-D, Port-4, no ip address
Device-D, Port-5, no shutdown
Device-D, Port-5, ip address IP-Address-1
Device-D, Port-5, ip address IP-Address-2
Device-D, Port-5, ip address IP-Address-3
Device-D, Port-5, ip address IP-Address-4
Device-D, Port-5, ip address IP-Address-5
Device-D, Port-5, ip address IP-Address-6
Device-D, Port-5, ip address IP-Address-7
Device-D, Port-5, ip address IP-Address-8
Device-D, Port-5, ip address IP-Address-9
Device-D, Port-5, ip address IP-Address-10
Device-D, Port-5, ip address IP-Address-11
Device-D, Port-5, ip address IP-Address-12
Device-D, Port-5, ip address IP-Address-13
Device-D, Port-5, ip address IP-Address-14
Device-D, Port-5, ip address IP-Address-15
Device-D, Port-5, ip address IP-Address-16
Device-D, Port-5, ip address IP-Address-17
Device-D, Port-5, ip address IP-Address-18
Device-D, Port-5, ip address IP-Address-19
Device-D, Port-5, ip address IP-Address-20
Device-D, Port-5, ip address IP-Address-21
Device-D, Port-5, ip address IP-Address-22
Device-D, Port-5, ip address IP-Address-23
Device-D, Port-5, ip address IP-Address-24
Device-D, Port-5, ip address IP-Address-25
Device-D, Port-5, ip address IP-Address-26
Device-D, Port-5, ip address IP-Address-27
Device-D, Port-5, ip address IP-Address-28
Device-D, Port-5, ip address IP-Address-29
Device-D, Port-5, ip address IP-Address-30
Device-D, Port-5, ip address IP-Address-31
Device-D, Port-5, ip address IP-Address-32
Device-D, Port-5, ip address IP-Address-33
Device-D, Port-5, ip address IP-Address-34
Device-D, Port-5, ip address IP-Address-35
Device-D, Port-5, ip address IP-Address-36
Device-D, Port-5, ip address IP-Address-37
Device-D, Port-5, ip address IP-Address-38
Device-D, Port-5, ip address IP-Address-39
Device-D, Port-5, ip address IP-Address-40
Device-D, Port-5, ip address IP-Address-41
Device-D, Port-5, ip address IP-Address-42
Device-D, Port-5, ip address IP-Address-43
Device-D, Port-5, ip address IP-Address-44
Device-D, Port-5, ip address IP-Address-45
Device-D, Port-5, ip address IP-Address-46
Device-D, Port-5, ip address IP-Address-47
Device-D, Port-5, ip address IP-Address-48
Device-D, Port-5, ip address IP-Address-49
Device-D, Port-5, ip address IP-Address-50
Device-D, Port-5, ip address IP-Address-51
Device-D, Port-5, ip address IP-Address-52
Device-D, Port-5, ip address IP-Address-53
Device-D, Port-5, ip address IP-Address-54
Device-D, Port-5, ip address IP-Address-55
Device-D, Port-5, ip address IP-Address-56
Device-D, Port-5, ip address IP-Address-57
Device-D, Port-5, ip address IP-Address-58
Device-D, Port-5, ip address IP-Address-59
Device-D, Port-5, ip address IP-Address-60
Device-D, Port-5, ip address IP-Address-61
Device-D, Port-5, ip address IP-Address-62
Device-D, Port-5, ip address IP-Address-63
Device-D, Port-5, shutdown
Device-D, Port-5, no ip address
Device-D, Port-6, no shutdown
Device-D, Port-6, ip address IP-Address-1
Device-D, Port-6, ip address IP-Address-2
Device-D, Port-6, ip address IP-Address-3
Device-D, Port-6, ip address IP-Address-4
Device-D, Port-6, ip address IP-Address-5
Device-D, Port-6, ip address IP-Address-6
Device-D, Port-6, ip address IP-Address-7
Device-D, Port-6, ip address IP-Address-8
Device-D, Port-6, ip address IP-Address-9
Device-D, Port-6, ip address IP-Address-10
Device-D, Port-6, ip address IP-Address-11
Device-D, Port-6, ip address IP-Address-12
Device-D, Port-6, ip address IP-Address-13
Device-D, Port-6, ip address IP-Address-14
Device-D, Port-6, ip address IP-Address-15
Device-D, Port-6, ip address IP-Address-16
Device-D, Port-6, ip address IP-Address-17
Device-D, Port-6, ip address IP-Address-18
Device-D, Port-6, ip address IP-Address-19
Device-D, Port-6, ip address IP-Address-20
Device-D, Port-6, ip address IP-Address-21
Device-D, Port-6, ip address IP-Address-22
Device-D, Port-6, ip address IP-Address-23
Device-D, Port-6, ip address IP-Address-24
Device-D, Port-6, ip address IP-Address-25
Device-D, Port-6, ip address IP-Address-26
Device-D, Port-6, ip address IP-Address-27
Device-D, Port-6, ip address IP-Address-28
Device-D, Port-6, ip address IP-Address-29
Device-D, Port-6, ip address IP-Address-30
Device-D, Port-6, ip address IP-Address-31
Device-D, Port-6, ip address IP-Address-32
Device-D, Port-6, ip address IP-Address-33
Device-D, Port-6, ip address IP-Address-34
Device-D, Port-6, ip address IP-Address-35
Device-D, Port-6, ip address IP-Address-36
Device-D, Port-6, ip address IP-Address-37
Device-D, Port-6, ip address IP-Address-38
Device-D, Port-6, ip address IP-Address-39
Device-D, Port-6, ip address IP-Address-40
Device-D, Port-6, ip address IP-Address-41
Device-D, Port-6, ip address IP-Address-42
Device-D, Port-6, ip address IP-Address-43
Device-D, Port-6, ip address IP-Address-44
Device-D, Port-6, ip address IP-Address-45
Device-D, Port-6, ip address IP-Address-46
Device-D, Port-6, ip address IP-Address-47
Device-D, Port-6, ip address IP-Address-48
Device-D, Port-6, ip address IP-Address-49
Device-D, Port-6, ip address IP-Address-50
Device-D, Port-6, ip address IP-Address-51
Device-D, Port-6, ip address IP-Address-52
Device-D, Port-6, ip address IP-Address-53
Device-D, Port-6, ip address IP-Address-54
Device-D, Port-6, ip address IP-Address-55
Device-D, Port-6, ip address IP-Address-56
Device-D, Port-6, ip address IP-Address-57
Device-D, Port-6, ip address IP-Address-58
Device-D, Port-6, ip address IP-Address-59
Device-D, Port-6, ip address IP-Address-60
Device-D, Port-6, ip address IP-Address-61
Device-D, Port-6, ip address IP-Address-62
Device-D, Port-6, ip address IP-Address-63
Device-D, Port-6, shutdown
Device-D, Port-6, no ip address
Device-D, Port-7, no shutdown
Device-D, Port-7, ip address IP-Address-1
Device-D, Port-7, ip address IP-Address-2
Device-D, Port-7, ip address IP-Address-3
Device-D, Port-7, ip address IP-Address-4
Device-D, Port-7, ip address IP-Address-5
Device-D, Port-7, ip address IP-Address-6
Device-D, Port-7, ip address IP-Address-7
Device-D, Port-7, ip address IP-Address-8
Device-D, Port-7, ip address IP-Address-9
Device-D, Port-7, ip address IP-Address-10
Device-D, Port-7, ip address IP-Address-11
Device-D, Port-7, ip address IP-Address-12
Device-D, Port-7, ip address IP-Address-13
Device-D, Port-7, ip address IP-Address-14
Device-D, Port-7, ip address IP-Address-15
Device-D, Port-7, ip address IP-Address-16
Device-D, Port-7, ip address IP-Address-17
Device-D, Port-7, ip address IP-Address-18
Device-D, Port-7, ip address IP-Address-19
Device-D, Port-7, ip address IP-Address-20
Device-D, Port-7, ip address IP-Address-21
Device-D, Port-7, ip address IP-Address-22
Device-D, Port-7, ip address IP-Address-23
Device-D, Port-7, ip address IP-Address-24
Device-D, Port-7, ip address IP-Address-25
Device-D, Port-7, ip address IP-Address-26
Device-D, Port-7, ip address IP-Address-27
Device-D, Port-7, ip address IP-Address-28
Device-D, Port-7, ip address IP-Address-29
Device-D, Port-7, ip address IP-Address-30
Device-D, Port-7, ip address IP-Address-31
Device-D, Port-7, ip address IP-Address-32
Device-D, Port-7, ip address IP-Address-33
Device-D, Port-7, ip address IP-Address-34
Device-D, Port-7, ip address IP-Address-35
Device-D, Port-7, ip address IP-Address-36
Device-D, Port-7, ip address IP-Address-37
Device-D, Port-7, ip address IP-Address-38
Device-D, Port-7, ip address IP-Address-39
Device-D, Port-7, ip address IP-Address-40
Device-D, Port-7, ip address IP-Address-41
Device-D, Port-7, ip address IP-Address-42
Device-D, Port-7, ip address IP-Address-43
Device-D, Port-7, ip address IP-Address-44
Device-D, Port-7, ip address IP-Address-45
Device-D, Port-7, ip address IP-Address-46
Device-D, Port-7, ip address IP-Address-47
Device-D, Port-7, ip address IP-Address-48
Device-D, Port-7, ip address IP-Address-49
Device-D, Port-7, ip address IP-Address-50
Device-D, Port-7, ip address IP-Address-51
Device-D, Port-7, ip address IP-Address-52
Device-D, Port-7, ip address IP-Address-53
Device-D, Port-7, ip address IP-Address-54
Device-D, Port-7, ip address IP-Address-55
Device-D, Port-7, ip address IP-Address-56
Device-D, Port-7, ip address IP-Address-57
Device-D, Port-7, ip address IP-Address-58
Device-D, Port-7, ip address IP-Address-59
Device-D, Port-7, ip address IP-Address-60
Device-D, Port-7, ip address IP-Address-61
Device-D, Port-7, ip address IP-Address-62
Device-D, Port-7, ip address IP-Address-63
Device-D, Port-7, shutdown
Device-D, Port-7, no ip address
Device-D, Port-8, no shutdown
Device-D, Port-8, ip address IP-Address-1
Device-D, Port-8, ip address IP-Address-2
Device-D, Port-8, ip address IP-Address-3
Device-D, Port-8, ip address IP-Address-4
Device-D, Port-8, ip address IP-Address-5
Device-D, Port-8, ip address IP-Address-6
Device-D, Port-8, ip address IP-Address-7
Device-D, Port-8, ip address IP-Address-8
Device-D, Port-8, ip address IP-Address-9
Device-D, Port-8, ip address IP-Address-10
Device-D, Port-8, ip address IP-Address-11
Device-D, Port-8, ip address IP-Address-12
Device-D, Port-8, ip address IP-Address-13
Device-D, Port-8, ip address IP-Address-14
Device-D, Port-8, ip address IP-Address-15
Device-D, Port-8, ip address IP-Address-16
Device-D, Port-8, ip address IP-Address-17
Device-D, Port-8, ip address IP-Address-18
Device-D, Port-8, ip address IP-Address-19
Device-D, Port-8, ip address IP-Address-20
Device-D, Port-8, ip address IP-Address-21
Device-D, Port-8, ip address IP-Address-22
Device-D, Port-8, ip address IP-Address-23
Device-D, Port-8, ip address IP-Address-24
Device-D, Port-8, ip address IP-Address-25
Device-D, Port-8, ip address IP-Address-26
Device-D, Port-8, ip address IP-Address-27
Device-D, Port-8, ip address IP-Address-28
Device-D, Port-8, ip address IP-Address-29
Device-D, Port-8, ip address IP-Address-30
Device-D, Port-8, ip address IP-Address-31
Device-D, Port-8, ip address IP-Address-32
Device-D, Port-8, ip address IP-Address-33
Device-D, Port-8, ip address IP-Address-34
Device-D, Port-8, ip address IP-Address-35
Device-D, Port-8, ip address IP-Address-36
Device-D, Port-8, ip address IP-Address-37
Device-D, Port-8, ip address IP-Address-38
Device-D, Port-8, ip address IP-Address-39
Device-D, Port-8, ip address IP-Address-40
Device-D, Port-8, ip address IP-Address-41
Device-D, Port-8, ip address IP-Address-42
Device-D, Port-8, ip address IP-Address-43
Device-D, Port-8, ip address IP-Address-44
Device-D, Port-8, ip address IP-Address-45
Device-D, Port-8, ip address IP-Address-46
Device-D, Port-8, ip address IP-Address-47
Device-D, Port-8, ip address IP-Address-48
Device-D, Port-8, ip address IP-Address-49
Device-D, Port-8, ip address IP-Address-50
